product_id,course_id,course_name,session_no,part_id,part_name,chapter_id,chapter_name,clip_id,clip_name,clip_duration,lecture_type,bo_memo,status
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,1,873995,Part 1. 입문,873996,Ch 1. Cursor AI를 시작하기 위한 준비,6550166,00. 오리엔테이션,0:02:57,필수강의,CR 기반으로 운영계획서 초안을 검토하고 싶음. 프로젝트성 차시는 별도 후보로 표시 필요.,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,1,873995,Part 1. 입문,873996,Ch 1. Cursor AI를 시작하기 위한 준비,6550162,01. Cursor란,0:00:48,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,1,873995,Part 1. 입문,873996,Ch 1. Cursor AI를 시작하기 위한 준비,6550163,02. Cursor를 사용해야 하는 이유,0:02:51,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,1,873995,Part 1. 입문,873996,Ch 1. Cursor AI를 시작하기 위한 준비,6550164,03. Cursor 설치 및 기본 환경 설정,0:06:39,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,1,873995,Part 1. 입문,873996,Ch 1. Cursor AI를 시작하기 위한 준비,6550165,04. 커서의 기본적인 사용법,0:15:10,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,1,873997,Part 1. 입문,873997,Ch 2. 개발전 준비 - 웹,6550167,01. Node.js 설치,0:01:49,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,1,873998,Part 1. 입문,873998,Ch 3. 개발전 기초 실습 - PRD,6550169,01. 효율적으로 PRD 작성하기,0:05:36,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,1,873998,Part 1. 입문,873998,Ch 3. 개발전 기초 실습 - PRD,6550168,02. AI를 활용해 PRD 작성하기,0:11:57,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,1,873999,Part 1. 입문,873999,Ch 4. 개발전 기초 실습 - Requirements 문서 활용,6550171,01. Requirements 문서에 대해 이해하기,0:01:59,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,1,873999,Part 1. 입문,873999,Ch 4. 개발전 기초 실습 - Requirements 문서 활용,6550170,02. 효율적으로 문서 작성하기,0:09:22,필수강의,,PENDING
